route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,G2511F_I2,G2511F_I2_001-01_2,San Andrés,0,001-01,14
1,G2511F_I2,G2511F_I2_001-01_3,Parque del Sur,1,001-01,12
1,G2511F_I2,G2511F_I2_001-01_4,San Andrés,0,001-01,14
1,G2511F_I2,G2511F_I2_001-01_5,Parque del Sur,1,001-01,12
1,G2511F_I2,G2511F_I2_001-01_6,San Andrés,0,001-01,14
1,G2511F_I2,G2511F_I2_001-01_7,Parque del Sur,1,001-01,12
1,G2511F_I2,G2511F_I2_001-01_8,San Andrés,0,001-01,14
1,G2511F_I2,G2511F_I2_001-01_9,Parque del Sur,1,001-01,12
1,G2511F_I2,G2511F_I2_001-01_10,San Andrés,0,001-01,14
1,G2511F_I2,G2511F_I2_001-01_11,Parque del Sur,1,001-01,12
1,G2511F_I2,G2511F_I2_001-01_12,San Andrés,0,001-01,14
1,G2511F_I2,G2511F_I2_001-01_13,Parque del Sur,1,001-01,12
1,G2511F_I2,G2511F_I2_001-01_14,San Andrés,0,001-01,14
1,G2511F_I2,G2511F_I2_001-01_15,Parque del Sur,1,001-01,12
1,G2511F_I2,G2511F_I2_001-01_16,San Andrés,0,001-01,14
1,G2511F_I2,G2511F_I2_001-01_17,Parque del Sur,1,001-01,12
1,G2511F_I2,G2511F_I2_001-01_18,San Andrés,0,001-01,14
1,G2511F_I2,G2511F_I2_001-01_19,Parque del Sur,1,001-01,12
1,G2511F_I2,G2511F_I2_001-01_20,San Andrés,0,001-01,14
1,G2511F_I2,G2511F_I2_001-01_21,Parque del Sur,1,001-01,12
1,G2511F_I2,G2511F_I2_001-01_22,San Andrés,0,001-01,14
1,G2511F_I2,G2511F_I2_001-02_2,Parque del Sur,1,001-02,12
1,G2511F_I2,G2511F_I2_001-02_3,San Andrés,0,001-02,14
1,G2511F_I2,G2511F_I2_001-02_4,Parque del Sur,1,001-02,12
1,G2511F_I2,G2511F_I2_001-02_5,San Andrés,0,001-02,14
1,G2511F_I2,G2511F_I2_001-02_6,Parque del Sur,1,001-02,12
1,G2511F_I2,G2511F_I2_001-02_7,San Andrés,0,001-02,14
1,G2511F_I2,G2511F_I2_001-02_8,Parque del Sur,1,001-02,12
1,G2511F_I2,G2511F_I2_001-02_9,San Andrés,0,001-02,14
1,G2511F_I2,G2511F_I2_001-02_10,Parque del Sur,1,001-02,12
1,G2511F_I2,G2511F_I2_001-02_11,San Andrés,0,001-02,14
1,G2511F_I2,G2511F_I2_001-02_12,Parque del Sur,1,001-02,12
1,G2511F_I2,G2511F_I2_001-02_13,San Andrés,0,001-02,14
1,G2511F_I2,G2511F_I2_001-02_14,Parque del Sur,1,001-02,12
1,G2511F_I2,G2511F_I2_001-02_15,San Andrés,0,001-02,14
1,G2511F_I2,G2511F_I2_001-02_16,Parque del Sur,1,001-02,12
1,G2511F_I2,G2511F_I2_001-02_17,San Andrés,0,001-02,14
1,G2511F_I2,G2511F_I2_001-02_18,Parque del Sur,1,001-02,12
1,G2511F_I2,G2511F_I2_001-02_19,San Andrés,0,001-02,14
1,G2511F_I2,G2511F_I2_001-03_2,San Andrés,0,001-03,14
1,G2511F_I2,G2511F_I2_001-03_3,Parque del Sur,1,001-03,12
1,G2511F_I2,G2511F_I2_001-03_4,San Andrés,0,001-03,14
1,G2511F_I2,G2511F_I2_001-03_5,Parque del Sur,1,001-03,12
1,G2511F_I2,G2511F_I2_001-03_6,San Andrés,0,001-03,14
1,G2511F_I2,G2511F_I2_001-03_7,Parque del Sur,1,001-03,12
1,G2511F_I2,G2511F_I2_001-03_8,San Andrés,0,001-03,14
1,G2511F_I2,G2511F_I2_001-03_9,Parque del Sur,1,001-03,12
1,G2511F_I2,G2511F_I2_001-03_10,San Andrés,0,001-03,14
1,G2511F_I2,G2511F_I2_001-03_11,Parque del Sur,1,001-03,12
1,G2511F_I2,G2511F_I2_001-03_12,San Andrés,0,001-03,14
1,G2511F_I2,G2511F_I2_001-03_13,Parque del Sur,1,001-03,12
1,G2511F_I2,G2511F_I2_001-03_14,San Andrés,0,001-03,14
1,G2511F_I2,G2511F_I2_001-03_15,Parque del Sur,1,001-03,12
1,G2511F_I2,G2511F_I2_001-03_16,San Andrés,0,001-03,14
1,G2511F_I2,G2511F_I2_001-03_17,Parque del Sur,1,001-03,12
1,G2511F_I2,G2511F_I2_001-03_18,San Andrés,0,001-03,14
1,G2511F_I2,G2511F_I2_001-04_2,San Andrés,0,001-04,14
1,G2511F_I2,G2511F_I2_001-04_3,Parque del Sur,1,001-04,12
1,G2511F_I2,G2511F_I2_001-04_4,San Andrés,0,001-04,14
1,G2511F_I2,G2511F_I2_001-04_5,Parque del Sur,1,001-04,12
